0.8862500000000001,0,0.001630648772300242,141: out
,"[129, 0, 0]","[0.036427485076979155, 4.668204780376231e-06]"
,"[130, 0, 0]","[0.03642748506531738, 2.2617463075400375e-06]"
,"[131, 0, 0]","[0.03642748505636286, 3.3591595856219524e-06]"
,"[132, 0, 0]","[0.03642748504286743, 5.578135207829986e-06]"
,"[133, 0, 0]","[0.036427485023608104, 6.605062939453552e-06]"
,"[134, 0, 0]","[0.03642748500544768, 4.801630128752503e-06]"
,"[135, 0, 0]","[0.036427484994759333, 2.192419258365367e-06]"
,"[136, 0, 0]","[0.03642748498788327, 2.554836874008751e-06]"
,"[137, 0, 0]","[0.03642748497890618, 4.320913346975346e-06]"
,"[138, 0, 0]","[0.03642748496540212, 5.473102020895524e-06]"
,"[139, 0, 0]","[0.03642748495116069, 4.4559867885619735e-06]"
,"[140, 0, 0]","[0.03642748494133484, 2.272399743778704e-06]"
,"[141, 0, 0]","[0.036427484934592594, 2.3249589346239055e-06]"
,"[142, 0, 0]","[0.03642748492622685, 3.987612319838992e-06]"
,"[143, 0, 0]","[0.036427484913262594, 5.342997994160722e-06]"
,"[144, 0, 0]","[0.03642748489817908, 4.793528342733763e-06]"
,"[145, 0, 0]","[0.03642748488637188, 2.6946915687120054e-06]"
,"[146, 0, 0]","[0.036427484878058095, 2.343127526102957e-06]"
,"[147, 0, 0]","[0.03642748486881247, 3.924723388023948e-06]"
,"[148, 0, 0]","[0.036427484855236635, 5.278354915644096e-06]"
,"[149, 0, 0]","[0.03642748483954346, 4.7881486291473355e-06]"
,"[150, 0, 0]","[0.036427484826924976, 2.7814131107169237e-06]"
,"[151, 0, 0]","[0.03642748481772172, 2.4511676358122313e-06]"
,"[152, 0, 0]","[0.0364274848077097, 3.966852068164272e-06]"
,"[153, 0, 0]","[0.036427484794210985, 5.028162365416173e-06]"
,"[154, 0, 0]","[0.03642748478035497, 4.155547570525881e-06]"
,"[155, 0, 0]","[0.03642748477037981, 2.290439640140162e-06]"
,"[156, 0, 0]","[0.036427484762883565, 2.458364078851437e-06]"
,"[157, 0, 0]","[0.036427484753309716, 4.102889466831856e-06]"
,"[158, 0, 0]","[0.03642748473911482, 5.3117718848519955e-06]"
,"[159, 0, 0]","[0.03642748472370904, 4.5197170924671665e-06]"
,"[160, 0, 0]","[0.036427484712721794, 2.4283422685958014e-06]"
,"[161, 0, 0]","[0.036427484705453164, 2.235822614511816e-06]"
,"[162, 0, 0]","[0.03642748469747281, 3.575341892182789e-06]"
,"[163, 0, 0]","[0.03642748468651507, 4.441686559608301e-06]"
,"[164, 0, 0]","[0.03642748467557597, 3.5597774329707557e-06]"
,"[165, 0, 0]","[0.03642748466811474, 1.9217328121764003e-06]"
,"[166, 0, 0]","[0.03642748466271588, 2.102825135681094e-06]"
,"[167, 0, 0]","[0.03642748465572915, 3.4596296877300053e-06]"
,"[168, 0, 0]","[0.03642748464537034, 4.419994698256351e-06]"
,"[169, 0, 0]","[0.03642748463441702, 3.6832292824479312e-06]"
,"[170, 0, 0]","[0.03642748462695114, 1.9542976281128645e-06]"
,"[171, 0, 0]","[0.03642748462209712, 1.8515995543147996e-06]"
,"[172, 0, 0]","[0.03642748461645189, 3.002930400858118e-06]"
,"[173, 0, 0]","[0.03642748460815435, 3.882534272777033e-06]"
,"[174, 0, 0]","[0.036427484599489135, 3.261623992109012e-06]"
,"[175, 0, 0]","[0.036427484593846635, 1.6920392038882757e-06]"
,"[176, 0, 0]","[0.03642748459053397, 1.46714720798812e-06]"
,"[177, 0, 0]","[0.03642748458686269, 2.361627945118695e-06]"
